scheme_id,et_fund_name,et_category,et_fund_house,mf_scheme_code,mf_scheme_name,mf_scheme_category,isin_growth,match_score,match_status,match_tier,score_gap,candidate_count,alt_candidates,review_reason,mapped_mf_scheme_code,map_match_method,already_decided
42348,Axis Multicap Fund,Multi Cap,Axis Mutual Fund,120505.0,Axis Midcap Fund - Direct Plan - Growth,Equity Scheme - Mid Cap Fund,,93.24,approved,review_app,,1,,duplicate_mf_code,120505.0,manual,False
1328,HSBC Large Cap Fund,Large Cap,HSBC Mutual Fund,119018.0,HDFC Large Cap Fund - Growth Option - Direct Plan,Equity Scheme - Large Cap Fund,,94.47,approved,review_app,,1,,duplicate_mf_code,119018.0,manual,False
32529,Sundaram Multi Cap Fund,Multi Cap,Sundaram Mutual Fund,119581.0,Sundaram Mid Cap Fund Direct Plan - Growth,Equity Scheme - Mid Cap Fund,,95.91,approved,review_app,,1,,duplicate_mf_code,119581.0,manual,False
32026,UTI Flexi Cap Fund,Flexi Cap,UTI Mutual Fund,151379.0,ITI Flexi Cap Fund- Direct Plan- Growth,Equity Scheme - Flexi Cap Fund,,99.44,approved,review_app,,1,,duplicate_mf_code,151379.0,manual,False
32489,Quant ELSS Tax Saver Fund,ELSS,Quant Mutual Fund,111549.0,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Equity Scheme - ELSS,,100.0,auto_ok,name_fuzzy,0.0,881,120847:100.0; 147541:92.5; 135654:90.7,duplicate_mf_code,111549.0,auto,False
32607,Quant Multi Asset Allocation Fund,Multi Asset Allocation,Quant Mutual Fund,120821.0,quant Multi Asset Allocation Fund-GROWTH OPTION-Direct Plan,Hybrid Scheme - Multi Asset Allocation,,100.0,auto_ok,name_fuzzy,0.0,881,152474:100.0; 120760:98.8; 148053:97.3,duplicate_mf_code,120821.0,auto,False
34465,Quantum ELSS Tax Saver Fund,ELSS,Quantum Mutual Fund,111549.0,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Equity Scheme - ELSS,,100.0,auto_ok,name_fuzzy,0.0,881,120847:100.0; 120494:90.7; 150838:89.6,duplicate_mf_code,111549.0,auto,False
34573,Union Largecap Fund,Large Cap,Union Mutual Fund,141248.0,Union Largecap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,4.5,881,147750:95.5; 150858:83.9; 148073:82.8,duplicate_mf_code,141248.0,auto,False
35440,Mahindra Manulife Mid Cap Fund,Mid Cap,Mahindra Manulife Mutual Fund,142110.0,Mahindra Manulife Mid Cap Fund - Direct Plan -Growth,Equity Scheme - Mid Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,147840:100.0; 141226:98.5; 150915:95.3,duplicate_mf_code,142110.0,auto,False
38316,Axis Large & Mid Cap Fund,Large & Mid Cap,Axis Mutual Fund,120465.0,Axis Large Cap Fund - Direct Plan - Growth,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,145110:100.0; 153629:86.8; 118419:86.6,duplicate_mf_code,120465.0,auto,False
40856,Union Large & Midcap Fund,Large & Mid Cap,Union Mutual Fund,141248.0,Union Largecap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,147750:100.0; 148073:95.0; 135677:93.9,duplicate_mf_code,141248.0,auto,False
40868,Mahindra Manulife Large & Mid Cap Fund,Large & Mid Cap,Mahindra Manulife Mutual Fund,142110.0,Mahindra Manulife Mid Cap Fund - Direct Plan -Growth,Equity Scheme - Mid Cap Fund,,100.0,auto_ok,name_fuzzy,0.0,881,146549:100.0; 147840:100.0; 141226:90.3,duplicate_mf_code,142110.0,auto,False
40896,ITI Balanced Advantage Fund,Dynamic Asset Allocation,ITI Mutual Fund,147789.0,ITI Balanced Advantage Fund - Direct Plan - Growth Option,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,,100.0,auto_ok,name_fuzzy,0.0,881,151885:100.0; 119298:97.6; 149134:97.6,duplicate_mf_code,147789.0,auto,False
41676,ITI Large Cap Fund,Large Cap,ITI Mutual Fund,148353.0,ITI Large Cap Fund - Direct Plan - Growth Option,Equity Scheme - Large Cap Fund,,100.0,auto_ok,name_fuzzy,9.3,881,120490:90.7; 119018:86.1; 119308:86.0,duplicate_mf_code,148353.0,auto,False
