fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev
Motilal Oswal Flexi Cap Fund,Flexi Cap,Motilal Oswal Mutual Fund,25643,https://www.etmoney.com/mutual-funds/motilal-oswal-flexi-cap-fund/portfolio-details/25643,ACTIVE,NIFTY 500 TRI,12770,1.91,2014-04-07,3.0,35.0,5.0,,-7.69,17.86,12.13,15.24,4.0,-1.0,0.7698,4.5803,0.9632,17.5045
Navi Flexi Cap Fund,Flexi Cap,Navi Mutual Fund,37164,https://www.etmoney.com/mutual-funds/navi-flexi-cap-fund/portfolio-details/37164,ACTIVE,NIFTY 500 TRI,260,2.48,2018-06-18,26.0,2.0,2.0,,6.48,11.56,11.84,11.2,2.0,23.0,0.4628,-1.8006,0.9897,15.8556
Nippon India Flexi Cap Fund,Flexi Cap,Nippon India Mutual Fund,42082,https://www.etmoney.com/mutual-funds/nippon-india-flexi-cap-fund/portfolio-details/42082,ACTIVE,NIFTY 500 TRI,9307,1.74,2021-07-26,21.0,24.0,3.0,,-0.79,12.71,,10.01,3.0,0.0,0.6363,1.6423,1.1578,19.3844
PGIM India Flexi Cap Fund,Flexi Cap,PGIM India Mutual Fund,28978,https://www.etmoney.com/mutual-funds/pgim-india-flexi-cap-fund/portfolio-details/28978,ACTIVE,NIFTY 500 TRI,5793,1.86,2015-02-11,29.0,22.0,1.0,,-0.72,10.04,10.11,11.76,2.0,-1.0,0.6363,1.6423,1.1578,19.3844
Parag Parikh Flexi Cap Fund,Flexi Cap,PPFAS Mutual Fund,19230,https://www.etmoney.com/mutual-funds/parag-parikh-flexi-cap-fund/portfolio-details/19230,ACTIVE,NIFTY 500 TRI,140949,1.36,2013-05-13,13.0,18.0,3.0,,0.22,15.65,15.5,17.6,3.0,2.0,1.0319,4.6841,0.6006,9.9138
Quant Flexi Cap Fund,Flexi Cap,Quant Mutual Fund,8576,https://www.etmoney.com/mutual-funds/quant-flexi-cap-fund/portfolio-details/8576,ACTIVE,NIFTY 500 TRI,6594,1.99,2008-08-25,8.0,7.0,4.0,,5.23,16.89,16.61,14.02,3.0,7.0,0.6363,1.6423,1.1578,19.3844
SBI Flexicap Fund,Flexi Cap,SBI Mutual Fund,2671,https://www.etmoney.com/mutual-funds/sbi-flexicap-fund/portfolio-details/2671,ACTIVE,BSE 500 TRI,22403,2.29,2005-08-22,30.0,26.0,1.0,,-1.21,9.62,10.34,12.02,1.0,-1.0,0.6363,1.6423,1.1578,19.3844
Samco Flexi Cap Fund,Flexi Cap,Samco Mutual Fund,42399,https://www.etmoney.com/mutual-funds/samco-flexi-cap-fund/portfolio-details/42399,ACTIVE,NIFTY 500 TRI,261,2.47,2022-01-17,32.0,32.0,1.0,,-3.49,0.91,,-0.69,1.0,-1.0,-0.1019,-12.0311,1.0856,19.6985
Sundaram Flexi Cap Fund,Flexi Cap,Sundaram Mutual Fund,42946,https://www.etmoney.com/mutual-funds/sundaram-flexi-cap-fund/portfolio-details/42946,ACTIVE,NIFTY 500 TRI,1825,2.03,2022-08-16,28.0,28.0,2.0,,-1.83,10.91,,9.36,2.0,-1.0,0.6363,1.6423,1.1578,19.3844
Tata Flexi Cap Fund,Flexi Cap,Tata Mutual Fund,37919,https://www.etmoney.com/mutual-funds/tata-flexi-cap-fund/portfolio-details/37919,ACTIVE,NIFTY 500 TRI,3633,2.04,2018-08-17,20.0,27.0,3.0,,-1.56,13.3,11.66,11.55,3.0,-1.0,0.6363,1.6423,1.1578,19.3844
The Wealth Company Flexi Cap Fund,Flexi Cap,The Wealth Company Mutual Fund,45827,https://www.etmoney.com/mutual-funds/the-wealth-company-flexi-cap-fund/portfolio-details/45827,ACTIVE,NIFTY 500 TRI,228,3.14,2025-09-24,,,,-1.63,,,,-2.8,,,0.0,0.0,0.0,0.0
UTI Flexi Cap Fund,Flexi Cap,UTI Mutual Fund,32026,https://www.etmoney.com/mutual-funds/uti-flexi-cap-fund/portfolio-details/32026,ACTIVE,NIFTY 500 TRI,22168,1.63,2005-08-01,31.0,34.0,1.0,,-7.61,7.48,6.7,13.33,1.0,-1.0,0.2405,-4.5755,0.8752,14.577
Union Flexi Cap Fund,Flexi Cap,Union Mutual Fund,12396,https://www.etmoney.com/mutual-funds/union-flexi-cap-fund/portfolio-details/12396,ACTIVE,BSE 500 TRI,2294,2.54,2011-05-20,22.0,20.0,2.0,,-0.02,12.6,12.82,11.24,3.0,9.0,0.6363,1.6423,1.1578,19.3844
WhiteOak Capital Flexi Cap Fund,Flexi Cap,Whiteoak Capital Mutual Fund,42767,https://www.etmoney.com/mutual-funds/whiteoak-capital-flexi-cap-fund/portfolio-details/42767,ACTIVE,BSE 500 TRI,7907,1.92,2022-07-12,10.0,14.0,4.0,,1.03,16.28,,14.52,4.0,-1.0,0.6363,1.6423,1.1578,19.3844
Franklin Asian Equity Fund,International,Franklin Templeton Mutual Fund,6190,https://www.etmoney.com/mutual-funds/franklin-asian-equity-fund/portfolio-details/6190,ACTIVE,,521,4.32,2007-11-19,,,,8.56,44.82,19.01,6.5,,0.0,-1.0,0.6789,0.0,0.0,17.0093
ICICI Prudential US Bluechip Equity Fund,International,ICICI Prudential Mutual Fund,14566,https://www.etmoney.com/mutual-funds/icici-prudential-us-bluechip-equity-fund/portfolio-details/14566,ACTIVE,S&P 500 TRI,3607,1.94,2012-06-18,,,,15.46,24.44,14.38,11.62,,0.0,-1.0,0.6316,0.0,0.0,13.8608
Nippon India Japan Equity Fund,International,Nippon India Mutual Fund,27208,https://www.etmoney.com/mutual-funds/nippon-india-japan-equity-fund/portfolio-details/27208,ACTIVE,S&P Japan 500 TRI,330,2.41,2014-08-08,,,,8.86,34.64,18.42,10.34,,0.0,-1.0,0.8556,0.0,0.0,13.7975
Nippon India Taiwan Equity Fund,International,Nippon India Mutual Fund,42301,https://www.etmoney.com/mutual-funds/nippon-india-taiwan-equity-fund/portfolio-details/42301,ACTIVE,Taiwan Capitalization Weighted Stock,1139,2.17,2021-11-22,,,,31.78,189.82,60.06,,,0.0,0.0,0.0,0.0,0.0,0.0
Aditya Birla Sun Life Large & Mid Cap Fund,Large & Mid Cap,Aditya Birla Sun Life Mutual Fund,31807,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-large-and-mid-cap-fund/portfolio-details/31807,ACTIVE,Nifty Large Midcap 250 TRI,5648,1.96,2001-04-02,24.0,15.0,1.0,,3.26,13.06,10.39,15.37,2.0,-1.0,0.9209,6.9682,1.1112,18.1573
Axis Large & Mid Cap Fund,Large & Mid Cap,Axis Mutual Fund,38316,https://www.etmoney.com/mutual-funds/axis-large-and-mid-cap-fund/portfolio-details/38316,ACTIVE,Nifty Large Midcap 250 TRI,15582,2.01,2018-10-01,11.0,8.0,3.0,,4.55,16.33,14.48,16.83,3.0,-1.0,0.8055,3.8261,0.9157,14.7271
Bajaj Finserv Large and Mid Cap Fund,Large & Mid Cap,Bajaj Finserv Mutual Fund,44481,https://www.etmoney.com/mutual-funds/bajaj-finserv-large-and-mid-cap-fund/portfolio-details/44481,ACTIVE,Nifty Large Midcap 250 TRI,2304,3.38,2024-02-06,,23.0,2.0,,0.26,,,7.28,0.0,-1.0,0.9209,6.9682,1.1112,18.1573
Bandhan Large & Mid Cap Fund,Large & Mid Cap,Bandhan Mutual Fund,2611,https://www.etmoney.com/mutual-funds/bandhan-large-and-mid-cap-fund/portfolio-details/2611,ACTIVE,Nifty Large Midcap 250 TRI,16672,2.45,2005-06-27,3.0,4.0,4.0,,7.32,21.78,18.73,13.13,5.0,2.0,1.0176,7.3334,1.0287,16.0788
Bank of India Large & Mid Cap Fund,Large & Mid Cap,Bank Of India Mutual Fund,8734,https://www.etmoney.com/mutual-funds/bank-of-india-large-and-mid-cap-fund/portfolio-details/8734,ACTIVE,BSE 250 Large MidCap TRI,468,2.48,2008-09-04,15.0,6.0,3.0,,5.7,15.3,14.2,13.5,3.0,23.0,0.65,1.4718,1.0074,15.8645
Baroda BNP Paribas Large & Mid Cap Fund,Large & Mid Cap,Baroda BNP Paribas Mutual Fund,41554,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-large-and-mid-cap-fund/portfolio-details/41554,ACTIVE,BSE 250 Large MidCap TRI,1718,2.11,2020-08-17,14.0,22.0,3.0,,0.64,15.54,15.2,18.42,3.0,-1.0,0.6459,1.5233,1.0331,16.3958
Canara Robeco Large and Mid Cap Fund,Large & Mid Cap,Canara Robeco Mutual Fund,2460,https://www.etmoney.com/mutual-funds/canara-robeco-large-and-mid-cap-fund/portfolio-details/2460,ACTIVE,Nifty Large Midcap 250 TRI,24675,2.34,2005-02-11,23.0,29.0,1.0,,-2.31,13.23,13.09,16.12,2.0,-1.0,0.5803,0.3779,1.0168,16.0269
DSP Large & Mid Cap Fund,Large & Mid Cap,DSP Mutual Fund,32451,https://www.etmoney.com/mutual-funds/dsp-large-and-mid-cap-fund/portfolio-details/32451,ACTIVE,Nifty Large Midcap 250 TRI,17331,2.12,2000-03-11,8.0,25.0,4.0,,-0.68,16.9,14.35,17.57,4.0,11.0,0.7363,2.7611,0.9839,15.4782
Edelweiss Large & Mid Cap Fund,Large & Mid Cap,Edelweiss Mutual Fund,4678,https://www.etmoney.com/mutual-funds/edelweiss-large-and-mid-cap-fund/portfolio-details/4678,ACTIVE,Nifty Large Midcap 250 TRI,4531,1.87,2007-04-19,12.0,12.0,3.0,,3.9,16.06,14.83,12.05,4.0,-1.0,0.9209,6.9682,1.1112,18.1573
Franklin India Large & Mid Cap Fund,Large & Mid Cap,Franklin Templeton Mutual Fund,2420,https://www.etmoney.com/mutual-funds/franklin-india-large-and-mid-cap-fund/portfolio-details/2420,ACTIVE,Nifty Large Midcap 250 TRI,3399,2.76,2005-01-17,22.0,25.0,2.0,,-0.68,13.68,12.58,14.65,1.0,-1.0,0.9209,6.9682,1.1112,18.1573
HDFC Large and Mid Cap Fund,Large & Mid Cap,HDFC Mutual Fund,31951,https://www.etmoney.com/mutual-funds/hdfc-large-and-mid-cap-fund/portfolio-details/31951,ACTIVE,Nifty Large Midcap 250 TRI,25295,1.59,1994-01-06,10.0,19.0,3.0,,1.53,16.63,16.96,12.88,4.0,4.0,0.7255,2.5596,1.0787,16.576
HSBC Large and Mid Cap Fund,Large & Mid Cap,HSBC Mutual Fund,39932,https://www.etmoney.com/mutual-funds/hsbc-large-and-mid-cap-fund/portfolio-details/39932,ACTIVE,Nifty Large Midcap 250 TRI,4877,3.09,2019-03-11,4.0,2.0,4.0,,9.94,18.99,16.19,15.34,3.0,16.0,0.7894,5.2067,1.0546,18.3202
Helios Large & Mid Cap Fund,Large & Mid Cap,Helios Mutual Fund,44967,https://www.etmoney.com/mutual-funds/helios-large-and-mid-cap-fund/portfolio-details/44967,ACTIVE,Nifty Large Midcap 250 TRI,824,2.3,2024-10-10,,3.0,5.0,,7.63,,,4.61,0.0,0.0,0.0,0.0,0.0,0.0
ICICI Prudential Large & Mid Cap Fund,Large & Mid Cap,ICICI Prudential Mutual Fund,32231,https://www.etmoney.com/mutual-funds/icici-prudential-large-and-mid-cap-fund/portfolio-details/32231,ACTIVE,Nifty Large Midcap 250 TRI,29757,2.0,1998-06-04,7.0,20.0,4.0,,1.5,17.78,18.31,17.8,4.0,1.0,0.9087,4.9446,0.9269,14.3941
ITI Large & Mid Cap Fund,Large & Mid Cap,ITI Mutual Fund,44859,https://www.etmoney.com/mutual-funds/iti-large-and-mid-cap-fund/portfolio-details/44859,ACTIVE,Nifty Large Midcap 250 TRI,736,3.97,2024-08-21,,24.0,2.0,,-0.17,,,-5.06,0.0,-1.0,0.0,0.0,0.0,0.0
Invesco India Large & Mid Cap Fund,Large & Mid Cap,Invesco Mutual Fund,5153,https://www.etmoney.com/mutual-funds/invesco-india-large-and-mid-cap-fund/portfolio-details/5153,ACTIVE,Nifty Large Midcap 250 TRI,9761,1.9,2007-07-09,2.0,5.0,5.0,,6.02,22.14,17.95,13.01,4.0,8.0,0.9209,6.9682,1.1112,18.1573
JM Large & Mid Cap Fund,Large & Mid Cap,JM Financial Mutual Fund,45652,https://www.etmoney.com/mutual-funds/jm-large-and-mid-cap-fund/portfolio-details/45652,ACTIVE,Nifty Large Midcap 250 TRI,419,2.42,2025-07-04,,,,-0.65,,,,-2.11,,,0.9209,6.9682,1.1112,18.1573
Kotak Large & Midcap Fund,Large & Mid Cap,Kotak Mahindra Mutual Fund,2178,https://www.etmoney.com/mutual-funds/kotak-large-and-midcap-fund/portfolio-details/2178,ACTIVE,Nifty Large Midcap 250 TRI,30251,1.58,2004-07-27,13.0,14.0,3.0,,3.44,15.73,15.35,17.56,3.0,5.0,0.7363,2.7611,0.9839,15.4782
LIC MF Large & Mid Cap Fund,Large & Mid Cap,LIC Mutual Fund,28921,https://www.etmoney.com/mutual-funds/lic-mf-large-and-mid-cap-fund/portfolio-details/28921,ACTIVE,Nifty Large Midcap 250 TRI,2958,3.54,2015-02-02,17.0,28.0,2.0,,-1.27,14.98,13.53,12.24,3.0,-1.0,0.9209,6.9682,1.1112,18.1573
Mahindra Manulife Large & Mid Cap Fund,Large & Mid Cap,Mahindra Manulife Mutual Fund,40868,https://www.etmoney.com/mutual-funds/mahindra-manulife-large-and-mid-cap-fund/portfolio-details/40868,ACTIVE,Nifty Large Midcap 250 TRI,2688,3.15,2019-12-06,19.0,21.0,2.0,,0.7,14.42,14.09,16.13,3.0,-1.0,0.6264,1.2307,0.9823,15.726
Mirae Asset Large & Midcap Fund,Large & Mid Cap,Mirae Asset Mutual Fund,10842,https://www.etmoney.com/mutual-funds/mirae-asset-large-and-midcap-fund/portfolio-details/10842,ACTIVE,Nifty Large Midcap 250 TRI,42338,1.7,2010-05-24,18.0,11.0,2.0,,4.05,14.6,12.98,18.51,3.0,-1.0,0.6253,0.8652,1.055,16.1896
Motilal Oswal Large and Midcap Fund,Large & Mid Cap,Motilal Oswal Mutual Fund,40809,https://www.etmoney.com/mutual-funds/motilal-oswal-large-and-midcap-fund/portfolio-details/40809,ACTIVE,Nifty Large Midcap 250 TRI,16777,1.91,2019-09-27,1.0,1.0,5.0,,11.74,23.98,21.12,20.26,3.0,6.0,0.9004,8.9194,1.1833,21.4395
Nippon India Vision Large & Mid Cap Fund,Large & Mid Cap,Nippon India Mutual Fund,31961,https://www.etmoney.com/mutual-funds/nippon-india-vision-large-and-mid-cap-fund/portfolio-details/31961,ACTIVE,Nifty Large Midcap 250 TRI,7081,1.8,1995-09-25,6.0,17.0,4.0,,1.69,17.92,16.4,17.58,5.0,-1.0,0.8352,4.1175,1.0241,15.691
PGIM India Large and Mid Cap Fund,Large & Mid Cap,PGIM India Mutual Fund,44448,https://www.etmoney.com/mutual-funds/pgim-india-large-and-mid-cap-fund/portfolio-details/44448,ACTIVE,Nifty Large Midcap 250 TRI,784,2.37,2024-01-24,,27.0,2.0,,-1.25,,,7.05,0.0,-1.0,0.9209,6.9682,1.1112,18.1573
Quant Large and Mid Cap Fund,Large & Mid Cap,Quant Mutual Fund,3918,https://www.etmoney.com/mutual-funds/quant-large-and-mid-cap-fund/portfolio-details/3918,ACTIVE,Nifty Large Midcap 250 TRI,3249,1.96,2006-11-20,9.0,16.0,3.0,,2.78,16.76,15.64,13.33,2.0,-1.0,0.5907,1.2331,1.1841,19.6806
SBI Large & Midcap Fund,Large & Mid Cap,SBI Mutual Fund,31976,https://www.etmoney.com/mutual-funds/sbi-large-and-midcap-fund/portfolio-details/31976,ACTIVE,Nifty Large Midcap 250 TRI,38426,1.72,2005-05-26,16.0,7.0,3.0,,4.84,15.04,15.83,16.84,3.0,-1.0,0.9209,6.9682,1.1112,18.1573
Samco Large & Mid Cap Fund,Large & Mid Cap,Samco Mutual Fund,45550,https://www.etmoney.com/mutual-funds/samco-large-and-mid-cap-fund/portfolio-details/45550,ACTIVE,Nifty Large Midcap 250 TRI,112,2.49,2025-06-05,,,,-11.19,,,,-14.33,,,0.9209,6.9682,1.1112,18.1573
Sundaram Large and Mid Cap Fund,Large & Mid Cap,Sundaram Mutual Fund,3959,https://www.etmoney.com/mutual-funds/sundaram-large-and-mid-cap-fund/portfolio-details/3959,ACTIVE,Nifty Large Midcap 250 TRI,6031,9.43,2007-01-10,21.0,18.0,2.0,,1.55,13.69,13.4,13.8,2.0,-1.0,0.9209,6.9682,1.1112,18.1573
Tata Large & Mid Cap Fund,Large & Mid Cap,Tata Mutual Fund,31881,https://www.etmoney.com/mutual-funds/tata-large-and-mid-cap-fund/portfolio-details/31881,ACTIVE,Nifty Large Midcap 250 TRI,7802,1.81,1993-02-25,25.0,30.0,1.0,,-6.83,8.53,11.38,12.18,1.0,-1.0,0.0,0.0,0.0,0.0
UTI Large & Mid Cap Fund,Large & Mid Cap,UTI Mutual Fund,32037,https://www.etmoney.com/mutual-funds/uti-large-and-mid-cap-fund/portfolio-details/32037,ACTIVE,Nifty Large Midcap 250 TRI,5896,1.85,2005-08-01,5.0,13.0,4.0,,3.65,18.9,16.76,13.12,5.0,-1.0,0.8896,4.9766,0.9996,15.455
Union Large & Midcap Fund,Large & Mid Cap,Union Mutual Fund,40856,https://www.etmoney.com/mutual-funds/union-large-and-midcap-fund/portfolio-details/40856,ACTIVE,Nifty Large Midcap 250 TRI,920,2.87,2019-11-15,20.0,10.0,2.0,,4.06,13.77,14.24,15.38,2.0,-1.0,0.9209,6.9682,1.1112,18.1573
WhiteOak Capital Large & Mid Cap Fund,Large & Mid Cap,Whiteoak Capital Mutual Fund,44298,https://www.etmoney.com/mutual-funds/whiteoak-capital-large-and-mid-cap-fund/portfolio-details/44298,ACTIVE,BSE 250 Large MidCap TRI,2180,2.29,2023-12-01,,9.0,4.0,,4.39,,,11.3,0.0,-1.0,0.9209,6.9682,1.1112,18.1573
Aditya Birla Sun Life Large Cap Fund,Large Cap,Aditya Birla Sun Life Mutual Fund,1247,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-large-cap-fund/portfolio-details/1247,ACTIVE,NIFTY 100 TRI,26702,1.58,2002-08-12,13.0,23.0,3.0,17.9,-3.61,11.33,11.79,17.87,4.0,8.0,,,,
Axis Large Cap Fund,Large Cap,Axis Mutual Fund,10434,https://www.etmoney.com/mutual-funds/axis-large-cap-fund/portfolio-details/10434,ACTIVE,BSE 100 TRI,30498,1.57,2009-11-11,26.0,29.0,2.0,11.14,-5.08,8.71,7.8,11.09,1.0,-1.0,,,,
Bajaj Finserv Large Cap Fund,Large Cap,Bajaj Finserv Mutual Fund,44813,https://www.etmoney.com/mutual-funds/bajaj-finserv-large-cap-fund/portfolio-details/44813,ACTIVE,NIFTY 100 TRI,1483,3.71,2024-07-29,,7.0,4.0,-2.32,-0.48,,,-2.75,0.0,-1.0,,,,
Bandhan Large Cap Fund,Large Cap,Bandhan Mutual Fund,3207,https://www.etmoney.com/mutual-funds/bandhan-large-cap-fund/portfolio-details/3207,ACTIVE,BSE 100 TRI,2007,2.34,2006-04-19,8.0,4.0,4.0,,0.25,13.0,12.47,10.56,4.0,14.0,0.6029,1.656,1.0183,15.0249
Bank of India Large Cap Fund,Large Cap,Bank Of India Mutual Fund,41987,https://www.etmoney.com/mutual-funds/bank-of-india-large-cap-fund/portfolio-details/41987,ACTIVE,NIFTY 100 TRI,213,2.47,2021-06-08,2.0,1.0,5.0,,4.37,14.12,,10.14,4.0,0.0,0.611,2.1165,1.0781,16.2917
Baroda BNP Paribas Large Cap Fund,Large Cap,Baroda BNP Paribas Mutual Fund,2156,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-large-cap-fund/portfolio-details/2156,ACTIVE,NIFTY 100 TRI,2579,2.0,2004-08-09,9.0,12.0,4.0,,-1.09,12.91,12.58,15.05,4.0,-1.0,0.5935,1.4899,0.994,14.687
Canara Robeco Large Cap Fund,Large Cap,Canara Robeco Mutual Fund,10960,https://www.etmoney.com/mutual-funds/canara-robeco-large-cap-fund/portfolio-details/10960,ACTIVE,BSE 100 TRI,16542,1.75,2010-06-28,17.0,27.0,3.0,,-4.62,10.89,10.87,11.9,3.0,4.0,0.505,0.0766,0.9451,13.756
DSP Large Cap Fund,Large Cap,DSP Mutual Fund,1386,https://www.etmoney.com/mutual-funds/dsp-large-cap-fund/portfolio-details/1386,ACTIVE,BSE 100 TRI,7192,2.52,2003-02-10,7.0,28.0,4.0,,-4.78,13.26,11.66,18.02,4.0,6.0,0.6856,2.6416,0.8882,13.2708
Edelweiss Large Cap Fund,Large Cap,Edelweiss Mutual Fund,10108,https://www.etmoney.com/mutual-funds/edelweiss-large-cap-fund/portfolio-details/10108,ACTIVE,NIFTY 100 TRI,1439,2.12,2009-05-04,18.0,22.0,3.0,13.09,-3.38,10.79,11.49,13.03,3.0,-1.0,,,,
Franklin India Large Cap Fund,Large Cap,Franklin Templeton Mutual Fund,31893,https://www.etmoney.com/mutual-funds/franklin-india-large-cap-fund/portfolio-details/31893,ACTIVE,NIFTY 100 TRI,7236,2.24,1993-10-30,19.0,21.0,3.0,,-3.11,10.73,9.5,18.47,2.0,-1.0,0.4847,-0.1196,0.9048,13.324
HDFC Large Cap Fund,Large Cap,HDFC Mutual Fund,31883,https://www.etmoney.com/mutual-funds/hdfc-large-cap-fund/portfolio-details/31883,ACTIVE,NIFTY 100 TRI,38121,1.9,1996-08-19,15.0,24.0,3.0,,-3.97,11.11,12.85,17.85,3.0,-1.0,0.4913,-0.0303,0.9503,13.9995
HSBC Large Cap Fund,Large Cap,HSBC Mutual Fund,1328,https://www.etmoney.com/mutual-funds/hsbc-large-cap-fund/portfolio-details/1328,ACTIVE,NIFTY 100 TRI,1784,2.1,2002-11-14,14.0,15.0,3.0,17.52,-1.73,11.12,10.97,17.49,3.0,-1.0,,,,
ICICI Prudential Equity Minimum Variance Fund,Large Cap,ICICI Prudential Mutual Fund,45101,https://www.etmoney.com/mutual-funds/icici-prudential-equity-minimum-variance-fund/portfolio-details/45101,ACTIVE,Nifty 50 Total Return,2985,2.16,2024-11-18,,11.0,4.0,,-0.97,,,1.47,0.0,-1.0,0.0,0.0,0.0,0.0
ICICI Prudential Large Cap Fund,Large Cap,ICICI Prudential Mutual Fund,7298,https://www.etmoney.com/mutual-funds/icici-prudential-large-cap-fund/portfolio-details/7298,ACTIVE,NIFTY 100 TRI,75650,1.69,2008-04-08,4.0,16.0,4.0,,-2.49,13.89,14.04,13.94,4.0,1.0,0.6882,2.6293,0.914,13.475
ITI Large Cap Fund,Large Cap,ITI Mutual Fund,41676,https://www.etmoney.com/mutual-funds/iti-large-cap-fund/portfolio-details/41676,ACTIVE,NIFTY 100 TRI,370,2.47,2020-12-04,22.0,24.0,2.0,9.53,-3.97,9.99,8.91,9.37,3.0,-1.0,,,,
Invesco India Largecap Fund,Large Cap,Invesco Mutual Fund,10234,https://www.etmoney.com/mutual-funds/invesco-india-largecap-fund/portfolio-details/10234,ACTIVE,NIFTY 100 TRI,1722,2.08,2009-07-10,3.0,5.0,4.0,,-0.14,14.05,13.35,11.95,5.0,13.0,0.6209,2.0664,1.0709,15.8678
JM Large Cap Fund,Large Cap,JM Financial Mutual Fund,31887,https://www.etmoney.com/mutual-funds/jm-large-cap-fund/portfolio-details/31887,ACTIVE,BSE 100 TRI,422,2.82,1994-12-12,10.0,13.0,3.0,9.12,-1.2,12.11,11.92,9.09,3.0,-1.0,,,,
Kotak Large Cap Fund,Large Cap,Kotak Mahindra Mutual Fund,32273,https://www.etmoney.com/mutual-funds/kotak-large-cap-fund/portfolio-details/32273,ACTIVE,NIFTY 100 TRI,10599,1.89,2003-02-06,12.0,20.0,3.0,17.75,-2.95,11.37,11.6,17.71,4.0,-1.0,,,,
LIC MF Large Cap Fund,Large Cap,LIC Mutual Fund,31937,https://www.etmoney.com/mutual-funds/lic-mf-large-cap-fund/portfolio-details/31937,ACTIVE,NIFTY 100 TRI,1352,3.56,1994-07-21,28.0,33.0,1.0,5.85,-6.34,7.95,8.67,5.84,1.0,-1.0,,,,
Mahindra Manulife Large Cap Fund,Large Cap,Mahindra Manulife Mutual Fund,39700,https://www.etmoney.com/mutual-funds/mahindra-manulife-large-cap-fund/portfolio-details/39700,ACTIVE,NIFTY 100 TRI,701,2.34,2019-02-22,21.0,32.0,2.0,11.25,-6.06,10.3,10.03,11.16,3.0,-1.0,,,,
Mirae Asset Large Cap Fund,Large Cap,Mirae Asset Mutual Fund,6550,https://www.etmoney.com/mutual-funds/mirae-asset-large-cap-fund/portfolio-details/6550,ACTIVE,NIFTY 100 TRI,38239,1.76,2008-02-11,24.0,19.0,2.0,,-2.87,9.36,10.15,13.91,2.0,-1.0,0.3963,-1.4167,0.9669,14.1623
Motilal Oswal Large Cap Fund,Large Cap,Motilal Oswal Mutual Fund,44427,https://www.etmoney.com/mutual-funds/motilal-oswal-large-cap-fund/portfolio-details/44427,ACTIVE,NIFTY 100 TRI,3171,1.97,2024-01-17,,18.0,3.0,13.24,-2.78,,,12.81,0.0,0.0,0.0,0.0,0.0,0.0
Nippon India Large Cap Fund,Large Cap,Nippon India Mutual Fund,5077,https://www.etmoney.com/mutual-funds/nippon-india-large-cap-fund/portfolio-details/5077,ACTIVE,BSE 100 TRI,51690,3.51,2007-06-12,1.0,8.0,5.0,,-0.68,14.18,16.16,12.33,5.0,-1.0,0.7156,3.173,0.9617,14.2046
PGIM India Large Cap Fund,Large Cap,PGIM India Mutual Fund,1360,https://www.etmoney.com/mutual-funds/pgim-india-large-cap-fund/portfolio-details/1360,ACTIVE,NIFTY 100 TRI,544,2.45,2003-01-14,29.0,30.0,1.0,16.03,-5.18,7.44,8.0,15.97,1.0,-1.0,,,,
PGIM India Retirement Fund,Large Cap,PGIM India Mutual Fund,44614,https://www.etmoney.com/mutual-funds/pgim-india-retirement-fund/portfolio-details/44614,ACTIVE,BSE 500 TRI,97,2.47,2024-03-26,,9.0,4.0,,-0.78,,,6.91,0.0,-1.0,0.0,0.0,0.0,0.0
Quant Large Cap Fund,Large Cap,Quant Mutual Fund,42809,https://www.etmoney.com/mutual-funds/quant-large-cap-fund/portfolio-details/42809,ACTIVE,NIFTY 100 TRI,3112,2.53,2022-07-20,4.0,2.0,4.0,,2.27,13.89,,10.42,3.0,0.0,0.5558,1.6438,1.1587,18.1142
SBI Equity Minimum Variance Fund,Large Cap,SBI Mutual Fund,39840,https://www.etmoney.com/mutual-funds/sbi-equity-minimum-variance-fund/portfolio-details/39840,ACTIVE,Nifty 50 Total Return,211,0.75,2019-03-02,16.0,3.0,3.0,12.95,0.9,11.09,11.29,12.83,2.0,7.0,,,,
SBI Large Cap Fund,Large Cap,SBI Mutual Fund,2893,https://www.etmoney.com/mutual-funds/sbi-large-cap-fund/portfolio-details/2893,ACTIVE,BSE 100 TRI,53468,1.47,2005-12-23,20.0,6.0,2.0,,-0.38,10.51,11.79,11.43,2.0,12.0,0.4655,-0.3986,0.9417,13.8492
Samco Large Cap Fund,Large Cap,Samco Mutual Fund,45367,https://www.etmoney.com/mutual-funds/samco-large-cap-fund/portfolio-details/45367,ACTIVE,NIFTY 100 TRI,107,2.47,2025-03-05,,34.0,1.0,,-7.24,,,-9.12,0.0,-1.0,0.0,0.0,0.0,0.0
Sundaram Large Cap Fund,Large Cap,Sundaram Mutual Fund,41570,https://www.etmoney.com/mutual-funds/sundaram-large-cap-fund/portfolio-details/41570,ACTIVE,NIFTY 100 TRI,2889,1.94,2020-09-17,27.0,26.0,1.0,12.9,-4.5,8.58,9.9,12.79,2.0,-1.0,,,,
