fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev
Tata Aggressive Hybrid Fund,Aggressive Hybrid,Tata Mutual Fund,31990,https://www.etmoney.com/mutual-funds/tata-aggressive-hybrid-fund/portfolio-details/31990,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,3865,1.93,1995-08-30,,,,14.37,-1.78,8.76,9.66,,0.0,-1.0,,,,
UTI Aggressive Hybrid Fund,Aggressive Hybrid,UTI Mutual Fund,32063,https://www.etmoney.com/mutual-funds/uti-aggressive-hybrid-fund/portfolio-details/32063,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,6524,1.85,1995-01-02,,,,14.43,-0.99,13.53,12.65,,0.0,-1.0,0.7256,0.0,1.04,11.0061
Union Aggressive Hybrid Fund,Aggressive Hybrid,Union Mutual Fund,41652,https://www.etmoney.com/mutual-funds/union-aggressive-hybrid-fund/portfolio-details/41652,ACTIVE,CRISIL Hybrid 35+65 Aggressive Index,707,2.57,2020-11-27,,,,11.07,0.11,11.27,10.15,,0.0,-1.0,,,,
Aditya Birla Sun Life Arbitrage Fund,Arbitrage,Aditya Birla Sun Life Mutual Fund,10250,https://www.etmoney.com/mutual-funds/aditya-birla-sun-life-arbitrage-fund/portfolio-details/10250,ACTIVE,NIFTY 50 Arbitrage TRI,25679,1.81,2009-07-14,,,,6.28,5.74,6.81,5.91,,0.0,-1.0,,,,
Axis Arbitrage Fund,Arbitrage,Axis Mutual Fund,27105,https://www.etmoney.com/mutual-funds/axis-arbitrage-fund/portfolio-details/27105,ACTIVE,NIFTY 50 Arbitrage TRI,9718,2.51,2014-07-25,,,,5.89,5.73,6.76,5.93,,0.0,-1.0,,,,
Bajaj Finserv Arbitrage Fund,Arbitrage,Bajaj Finserv Mutual Fund,44153,https://www.etmoney.com/mutual-funds/bajaj-finserv-arbitrage-fund/portfolio-details/44153,ACTIVE,NIFTY 50 Arbitrage TRI,954,2.17,2023-09-08,,,,6.31,5.63,,,,0.0,-1.0,,,,
Bandhan Arbitrage Fund,Arbitrage,Bandhan Mutual Fund,3778,https://www.etmoney.com/mutual-funds/bandhan-arbitrage-fund/portfolio-details/3778,ACTIVE,NIFTY 50 Arbitrage TRI,7895,2.03,2006-11-14,,,,6.48,5.51,6.7,5.85,,0.0,-1.0,,,,
Bank of India Arbitrage Fund,Arbitrage,Bank Of India Mutual Fund,36872,https://www.etmoney.com/mutual-funds/bank-of-india-arbitrage-fund/portfolio-details/36872,ACTIVE,NIFTY 50 Arbitrage TRI,45,4.77,2018-05-31,,,,4.76,5.51,6.28,5.11,,0.0,-1.0,0.7272,0.0,0.0,0.3256
Baroda BNP Paribas Arbitrage Fund,Arbitrage,Baroda BNP Paribas Mutual Fund,33736,https://www.etmoney.com/mutual-funds/baroda-bnp-paribas-arbitrage-fund/portfolio-details/33736,ACTIVE,NIFTY 50 Arbitrage TRI,1255,2.15,2016-12-08,,,,5.69,5.55,6.68,5.75,,0.0,-1.0,,,,
DSP Arbitrage Fund,Arbitrage,DSP Mutual Fund,35592,https://www.etmoney.com/mutual-funds/dsp-arbitrage-fund/portfolio-details/35592,ACTIVE,NIFTY 50 Arbitrage TRI,6512,1.01,2018-01-15,,,,5.54,5.65,6.7,5.82,,0.0,-1.0,,,,
Edelweiss Arbitrage Fund,Arbitrage,Edelweiss Mutual Fund,26662,https://www.etmoney.com/mutual-funds/edelweiss-arbitrage-fund/portfolio-details/26662,ACTIVE,NIFTY 50 Arbitrage TRI,14717,3.33,2014-06-12,,,,6.15,5.75,6.86,6.02,,0.0,-1.0,1.9276,0.0,0.5,0.3989
Franklin India Arbitrage Fund,Arbitrage,Franklin Templeton Mutual Fund,45060,https://www.etmoney.com/mutual-funds/franklin-india-arbitrage-fund/portfolio-details/45060,ACTIVE,NIFTY 50 Arbitrage TRI,1187,2.65,2024-11-04,,,,6.23,6.06,,,,0.0,0.0,0.0,0.0,0.0,0.0
HDFC Arbitrage Fund,Arbitrage,HDFC Mutual Fund,5841,https://www.etmoney.com/mutual-funds/hdfc-arbitrage-fund/portfolio-details/5841,ACTIVE,NIFTY 50 Arbitrage TRI,24439,2.84,2007-09-28,,,,6.32,5.88,6.82,5.81,,0.0,-1.0,1.988,0.0,0.0,0.3695
HSBC Arbitrage Fund,Arbitrage,HSBC Mutual Fund,26816,https://www.etmoney.com/mutual-funds/hsbc-arbitrage-fund/portfolio-details/26816,ACTIVE,NIFTY 50 Arbitrage TRI,2532,2.32,2014-06-26,,,,5.97,5.78,6.71,5.79,,0.0,-1.0,1.7454,0.0,0.43,0.3607
ICICI Prudential Equity Arbitrage Fund,Arbitrage,ICICI Prudential Mutual Fund,3709,https://www.etmoney.com/mutual-funds/icici-prudential-equity-arbitrage-fund/portfolio-details/3709,ACTIVE,NIFTY 50 Arbitrage TRI,32299,2.23,2006-11-08,,,,6.84,5.85,6.87,6.0,,0.0,-1.0,2.0792,0.0,0.0,0.378
ITI Arbitrage Fund,Arbitrage,ITI Mutual Fund,40730,https://www.etmoney.com/mutual-funds/iti-arbitrage-fund/portfolio-details/40730,ACTIVE,NIFTY 50 Arbitrage TRI,88,1.84,2019-08-20,,,,4.71,5.97,6.77,5.25,,0.0,24.0,1.7314,0.0,0.0,0.4032
Invesco India Arbitrage Fund,Arbitrage,Invesco Mutual Fund,4647,https://www.etmoney.com/mutual-funds/invesco-india-arbitrage-fund/portfolio-details/4647,ACTIVE,NIFTY 50 Arbitrage TRI,27321,3.97,2007-04-10,,,,6.55,5.92,6.91,6.18,,0.0,-1.0,2.2645,0.0,0.47,0.3653
JM Arbitrage Fund,Arbitrage,JM Financial Mutual Fund,3253,https://www.etmoney.com/mutual-funds/jm-arbitrage-fund/portfolio-details/3253,ACTIVE,NIFTY 50 Arbitrage TRI,367,1.47,2006-06-01,,,,6.37,5.54,6.42,5.54,,0.0,-1.0,0.8138,0.0,0.51,0.3968
Kotak Arbitrage Fund,Arbitrage,Kotak Mahindra Mutual Fund,2694,https://www.etmoney.com/mutual-funds/kotak-arbitrage-fund/portfolio-details/2694,ACTIVE,NIFTY 50 Arbitrage TRI,69951,3.34,2005-09-12,,,,6.86,5.84,7.0,6.16,,0.0,-1.0,2.279,0.0,0.4,0.4042
LIC MF Arbitrage Fund,Arbitrage,LIC Mutual Fund,39178,https://www.etmoney.com/mutual-funds/lic-mf-arbitrage-fund/portfolio-details/39178,ACTIVE,NIFTY 50 Arbitrage TRI,244,0.87,2019-01-04,,,,5.19,5.58,6.51,5.64,,0.0,-1.0,,,,
Mahindra Manulife Arbitrage Fund,Arbitrage,Mahindra Manulife Mutual Fund,41550,https://www.etmoney.com/mutual-funds/mahindra-manulife-arbitrage-fund/portfolio-details/41550,ACTIVE,NIFTY 50 Arbitrage TRI,112,2.3,2020-08-12,,,,4.54,5.21,5.67,4.84,,0.0,-1.0,,,,
Mirae Asset Arbitrage Fund,Arbitrage,Mirae Asset Mutual Fund,41483,https://www.etmoney.com/mutual-funds/mirae-asset-arbitrage-fund/portfolio-details/41483,ACTIVE,NIFTY 50 Arbitrage TRI,3461,4.12,2020-06-03,,,,5.42,5.67,6.7,5.82,,0.0,-1.0,,,,
Motilal Oswal Arbitrage Fund,Arbitrage,Motilal Oswal Mutual Fund,45195,https://www.etmoney.com/mutual-funds/motilal-oswal-arbitrage-fund/portfolio-details/45195,ACTIVE,NIFTY 50 Arbitrage TRI,2433,1.63,2024-12-16,,,,6.26,6.19,,,,0.0,0.0,0.0,0.0,0.0,0.0
Nippon India Arbitrage Fund,Arbitrage,Nippon India Mutual Fund,11236,https://www.etmoney.com/mutual-funds/nippon-india-arbitrage-fund/portfolio-details/11236,ACTIVE,NIFTY 50 Arbitrage TRI,16332,2.81,2010-09-24,,,,6.79,5.72,6.72,5.89,,0.0,-1.0,1.7428,0.0,0.44,0.3702
Old Bridge Arbitrage Fund,Arbitrage,Old Bridge Mutual Fund,45931,https://www.etmoney.com/mutual-funds/old-bridge-arbitrage-fund/portfolio-details/45931,ACTIVE,NIFTY 50 Arbitrage TRI,153,2.52,2025-11-06,,,,2.55,,,,,,,,,,
PGIM India Arbitrage Fund,Arbitrage,PGIM India Mutual Fund,27390,https://www.etmoney.com/mutual-funds/pgim-india-arbitrage-fund/portfolio-details/27390,ACTIVE,NIFTY 50 Arbitrage TRI,97,1.03,2014-08-13,,,,5.74,5.35,6.44,5.59,,0.0,-1.0,0.7843,0.0,0.5,0.4315
