scheme_id,mf_scheme_code,isin,et_fund_name,match_score,match_method,matched_at,notes
6465,120413,INF205K01MS2,Invesco India Multicap Fund,100.0,auto,2026-05-29T10:42:17.668447+00:00,auto_ok from match report
6469,120494,INF192K01CE3,JM ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.660211+00:00,auto_ok from match report
6550,118825,INF769K01AX2,Mirae Asset Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664884+00:00,auto_ok from match report
6558,130503,INF179KA1RW5,HDFC Small Cap Fund,100.0,auto,2026-05-29T10:42:17.674296+00:00,auto_ok from match report
7010,119544,INF209K01UN8,Aditya Birla Sun Life ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.659526+00:00,auto_ok from match report
7386,119597,INF903J01NB8,Sundaram Financial Services Opportunities Fund,100.0,auto,2026-05-29T10:42:17.672738+00:00,auto_ok from match report
7599,120385,INF205K01KY4,Invesco India Financial Services Fund,100.0,auto,2026-05-29T10:42:17.671773+00:00,auto_ok from match report
8044,120244,INF109K013J1,ICICI Prudential Banking and Financial Services Fund,100.0,auto,2026-05-29T10:42:17.671327+00:00,auto_ok from match report
8402,120492,INF192K01CC7,JM Flexicap Fund,100.0,auto,2026-05-29T10:42:17.661747+00:00,auto_ok from match report
8576,120843,INF966L01911,Quant Flexi Cap Fund,100.0,auto,2026-05-29T10:42:17.662170+00:00,auto_ok from match report
8734,119350,INF761K01652,Bank of India Large & Mid Cap Fund,100.0,auto,2026-05-29T10:42:17.662845+00:00,auto_ok from match report
9467,120760,INF789F01VE6,UTI Multi Asset Allocation Fund,100.0,auto,2026-05-29T10:42:17.667719+00:00,auto_ok from match report
9741,118473,INF194K01Y29,Bandhan ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.659689+00:00,auto_ok from match report
9806,119351,INF761K01884,Bank of India ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.659741+00:00,auto_ok from match report
9834,118620,INF754K01CA8,Edelweiss ELSS Tax Saver Fund,100.0,auto,2026-05-29T10:42:17.659952+00:00,auto_ok from match report
9918,118285,INF760K01EL8,Canara Robeco ELSS Tax Saver,100.0,auto,2026-05-29T10:42:17.659847+00:00,auto_ok from match report
10108,118617,INF754K01BW4,Edelweiss Large Cap Fund,100.0,auto,2026-05-29T10:42:17.664356+00:00,auto_ok from match report
