fund_name,category,fund_house,scheme_id,url,status,benchmark,aum_cr,expense_ratio,launch_date,holdings_rows,rank_3y,rank_1y,star_rating,return_since_inception_new,return_1y,return_3y,return_5y,return_since_inception,consistency_score,category_rank,sharpe_ratio,alpha,beta,std_dev,notes
Kotak International REIT Overseas Equity Omni FoF,International,Kotak Mahindra Mutual Fund,41703,https://www.etmoney.com/mutual-funds/kotak-international-reit-overseas-equity-omni-fof/portfolio-details/41703,NO_HOLDINGS,S&P Asia Pacific ex Japan REIT TRI,104.0,1.31,2020-12-07,0.0,,,,,,,,,,,,,,,
Kotak Quality Overseas Equity Omni FoF,International,,46225,https://www.etmoney.com/mutual-funds/kotak-quality-overseas-equity-omni-fof/portfolio-details/46225,NO_HOLDINGS,MSCI World,343.0,1.12,,0.0,,,,,,,,,,,,,,,
Mahindra Manulife Asia Pacific REITs FoF,International,Mahindra Manulife Mutual Fund,42227,https://www.etmoney.com/mutual-funds/mahindra-manulife-asia-pacific-reits-fof/portfolio-details/42227,NO_HOLDINGS,FTSE EPRA Nareli Asia Ex Japan REITs Index,42.0,1.35,2021-09-28,0.0,,,,,,,,,,,,,,,
PGIM India Emerging Markets Equity FoF,International,PGIM India Mutual Fund,5365,https://www.etmoney.com/mutual-funds/pgim-india-emerging-markets-equity-fof/portfolio-details/5365,NO_HOLDINGS,MSCI Emerging Markets TRI,1390.0,1.59,2007-07-31,0.0,,,,,,,,,,,,,,,
PGIM India Global Equity Opportunities FoF,International,PGIM India Mutual Fund,10771,https://www.etmoney.com/mutual-funds/pgim-india-global-equity-opportunities-fof/portfolio-details/10771,NO_HOLDINGS,MSCI All Country World,1694.0,1.5,2010-04-06,0.0,,,,,,,,,,,,,,,
PGIM India Global Select Real Estate Securities FoF,International,PGIM India Mutual Fund,42281,https://www.etmoney.com/mutual-funds/pgim-india-global-select-real-estate-securities-fof/portfolio-details/42281,NO_HOLDINGS,FTSE EPRA Nareit Developed Index,61.0,1.62,2021-11-15,0.0,,,,,,,,,,,,,,,
Parag Parikh Large Cap Fund,Large Cap,PPFAS Mutual Fund,46099,https://www.etmoney.com/mutual-funds/parag-parikh-large-cap-fund/portfolio-details/46099,NO_HOLDINGS,NIFTY 100 TRI,702.0,0.78,2026-01-19,0.0,,,,,,,,,,,,,,,
ICICI Prudential Nifty 100 Low Volatility 30 ETF FOF,Large Cap Index,ICICI Prudential Mutual Fund,41865,https://www.etmoney.com/mutual-funds/icici-prudential-nifty-100-low-volatility-30-etf-fof/portfolio-details/41865,NO_HOLDINGS,NIFTY 100 Low Volatility 30 TRI,1353.0,0.58,2021-03-23,0.0,,,,,,,,,,,,,,,
ICICI Prudential Nifty Alpha Low - Volatility 30 ETF FOF,Large Cap Index,ICICI Prudential Mutual Fund,42154,https://www.etmoney.com/mutual-funds/icici-prudential-nifty-alpha-low-volatility-30-etf-fof/portfolio-details/42154,NO_HOLDINGS,Nifty Alpha Low Volatility 30 TRI,798.0,0.45,2021-09-01,0.0,,,,,,,,,,,,,,,
Invesco India BSE Sensex Index Fund,Large Cap Index,,46279,https://www.etmoney.com/mutual-funds/invesco-india-bse-sensex-index-fund/portfolio-details/46279,NO_HOLDINGS,BSE Sensex TRI,,,,0.0,,,,,,,,,,,,,,,
Mirae Asset Nifty 100 ESG Sector Leaders FoF,Large Cap Index,Mirae Asset Mutual Fund,41626,https://www.etmoney.com/mutual-funds/mirae-asset-nifty-100-esg-sector-leaders-fof/portfolio-details/41626,NO_HOLDINGS,Nifty 100 ESG Sector Leaders TRI,84.0,0.47,2020-10-27,0.0,,,,,,,,,,,,,,,
Nippon India Nifty Next 50 Junior BeES FoF,Large Cap Index,Nippon India Mutual Fund,39633,https://www.etmoney.com/mutual-funds/nippon-india-nifty-next-50-junior-bees-fof/portfolio-details/39633,NO_HOLDINGS,NIFTY Next 50 TRI,736.0,0.3,2019-02-18,0.0,,,,,,,,,,,,,,,
Quantum Nifty 50 ETF FoF,Large Cap Index,Quantum Mutual Fund,42789,https://www.etmoney.com/mutual-funds/quantum-nifty-50-etf-fof/portfolio-details/42789,NO_HOLDINGS,Nifty 50 Total Return,35.0,0.23,2022-07-18,0.0,,,,,,,,,,,,,,,
