mf_scheme_code,nav_date,nav
148733,2026-05-26,24.7813
148751,2026-05-26,17.3
148841,2026-05-26,1347.7156
148883,2026-05-26,20.54
148921,2026-05-26,21.34
148925,2026-05-26,27.2819
148958,2026-05-26,15.7464
148972,2026-05-26,18.5275
148980,2026-05-26,17.46
148986,2026-05-26,18.585
148990,2026-05-26,20.0
148993,2026-05-26,17.01
149019,2026-05-26,18.07
149071,2026-05-26,20.3837
149085,2026-05-26,19.07
149091,2026-05-26,15.9137
149094,2026-05-26,17.3461
149104,2026-05-26,16.9452
149134,2026-05-26,16.5114
149141,2026-05-26,16.7896
149154,2022-11-25,9.6118
149166,2026-05-26,20.3
149185,2026-05-26,20.867
149261,2026-05-26,14.254
149264,2026-05-26,14.21
149268,2026-05-26,18.2925
149295,2026-05-26,15.85
149303,2026-05-26,18.303
149318,2026-05-26,19.6862
149321,2026-05-26,16.9332
149329,2026-05-26,40.204
149335,2026-05-26,24.1675
149368,2026-05-26,19.3
149383,2026-05-26,19.15
149406,2026-05-26,15.6101
149450,2026-05-26,10.42
149533,2026-05-26,173.3464
149550,2026-05-26,16.1356
149570,2026-05-26,524.6833
149601,2026-05-26,181.3462
149664,2026-05-26,2460.0737
149669,2026-05-26,415.9255
149679,2026-05-26,82.5475
149717,2026-05-26,41.0449
149763,2026-05-26,19.46
149841,2026-05-26,21.968
149882,2026-05-26,17.3442
150159,2026-05-26,110.0791
150187,2026-05-26,253.8073
150206,2026-05-26,56.3807
150212,2026-05-26,132.6365
150251,2026-05-26,17.9172
150260,2026-05-26,32.1124
150264,2026-05-26,24.0408
150266,2026-05-26,32.7765
150310,2026-05-26,18.14
150346,2026-05-26,18.077
150367,2026-05-26,12.8972
150376,2026-05-26,17.363
150387,2026-05-26,16.4179
150404,2026-05-26,19.096
150440,2026-05-26,16.3344
150470,2026-05-26,15.152
150481,2026-05-26,15.0287
150532,2026-05-26,15.5144
150539,2026-05-26,23.35
150571,2026-05-26,14.9776
150584,2026-05-26,22.065
150587,2026-05-26,18.082
150624,2026-05-26,17.109
150659,2026-05-26,18.5121
150685,2026-05-26,20.85
150716,2026-05-26,19.929
150797,2026-05-26,15.316
150805,2026-05-26,14.795
150815,2026-05-26,21.2666
150817,2026-05-26,18.54
150838,2026-05-26,13.05
150858,2026-05-26,17.19
150865,2026-05-26,16.9842
150915,2026-05-26,21.1782
151036,2026-05-26,505.3346
151040,2026-05-26,57.11
151060,2026-05-26,40.1468
151078,2026-05-26,148.3154
151113,2026-05-26,126.1396
151122,2026-05-26,65.0897
151129,2026-05-26,50.303
151130,2026-05-26,92.6977
151138,2026-05-26,21.456
151142,2026-05-26,46.5279
151165,2026-05-26,13.5333
151232,2026-05-26,15.7032
151267,2026-05-26,14.985
151290,2026-05-26,20.0481
151307,2026-05-26,17.4528
151368,2026-05-26,17.08
151379,2026-05-26,19.2987
151384,2026-05-26,16.414
151412,2026-05-26,16.568
151443,2026-05-26,19.66
151458,2026-05-26,13.762
151471,2026-05-26,14.4727
151580,2026-05-26,19.24
151611,2026-05-26,14.37
151713,2026-05-26,17.4046
151745,2026-05-26,16.162
151750,2026-05-26,29.192
151753,2026-05-26,14.41
151755,2026-05-26,14.3229
151757,2026-05-26,17.2885
151777,2026-05-26,17.0376
151791,2026-05-26,20.4955
151792,2026-05-26,12.3493
151796,2026-05-26,15.7169
151804,2026-05-26,13.611
151810,2026-05-26,14.888
151816,2026-05-26,15.062
151824,2026-05-26,14.9
151833,2026-05-26,1215.1518
151853,2026-05-26,17.0951
151881,2026-05-26,15.215
151885,2026-05-26,12.7461
151895,2026-05-26,15.443
151901,2026-05-26,17.699
151905,2026-05-26,14.72
151916,2026-05-26,16.6242
151917,2026-05-26,13.27
151952,2026-05-26,31.9904
152002,2026-05-26,33.3628
152004,2026-05-26,36.1669
152010,2026-05-26,22.7519
152018,2026-05-26,28.7957
152024,2026-05-26,34.3806
152032,2026-05-26,14.5745
152033,2026-05-26,14.4735
152045,2026-05-26,16.1595
152051,2026-05-26,13.756
152056,2026-05-26,16.7657
152059,2026-05-26,11.391
152064,2026-05-26,16.507
152067,2026-05-26,11.146
152071,2026-05-26,15.941
152076,2026-05-26,13.2716
152077,2026-05-26,12.011
152082,2026-05-26,20.019
152087,2026-05-26,11.1686
152094,2026-05-26,15.9181
152107,2026-05-26,13.32
152109,2026-05-26,11.9038
152128,2026-05-26,13.9722
152132,2026-05-26,13.398
152135,2026-05-26,15.37
152158,2026-05-26,15.3
152169,2026-05-26,13.931
152188,2026-05-26,10.77
152189,2026-05-26,15.693
152194,2026-05-26,11.739
152202,2026-05-26,15.5
152206,2026-05-26,14.733
152214,2026-05-26,15.729
152226,2026-05-26,13.879
152237,2026-05-26,15.2965
152254,2026-05-26,12.8398
152255,2026-05-26,15.6654
152310,2026-05-26,12.339
152314,2026-05-26,13.6539
152321,2026-05-26,13.041
152324,2026-05-26,14.617
152336,2026-05-26,9.8765
152344,2026-05-26,13.905
152349,2026-05-26,15.7
152354,2026-05-26,13.6681
152358,2026-05-26,13.07
152380,2026-05-26,14.1983
152382,2026-05-26,12.59
152396,2026-05-26,12.7423
152408,2026-05-26,12.377
152409,2026-05-26,11.76
152415,2026-05-26,11.324
152417,2026-05-26,11.6238
152437,2026-05-26,12.2484
152443,2026-05-26,13.9662
152450,2026-05-26,13.79
152462,2026-05-26,10.004
152468,2026-05-26,11.6521
152470,2026-05-26,13.3228
152474,2026-05-26,12.26
152509,2026-05-26,11.76
152537,2026-05-29,12.02
152584,2026-05-26,11.8
152586,2026-05-26,8.74
152600,2026-05-26,11.56
152607,2026-05-26,14.176
152614,2026-05-26,10.7713
152639,2026-05-26,12.4847
152644,2026-05-26,13.853
152651,2026-05-26,13.049
152657,2026-05-26,11.8724
152672,2026-05-26,10.4338
152677,2026-05-26,10.9009
152679,2026-05-26,11.61
152684,2026-05-26,10.29
152688,2026-05-26,10.27
152694,2026-05-26,10.4357
152697,2026-05-26,11.2157
152702,2026-05-26,10.585
152710,2026-05-26,9.1526
152728,2026-05-26,11.92
152739,2026-05-26,10.6167
152756,2026-05-26,10.91
152760,2026-05-26,11.5874
152776,2026-05-26,9.353
152783,2026-05-26,10.06
152787,2026-05-26,12.21
152789,2026-05-26,9.37
152796,2026-05-26,11.4442
152805,2026-05-26,9.07
152815,2026-05-26,10.25
152821,2026-05-26,9.7496
152829,2026-05-26,10.6464
152847,2026-05-26,8.74
152849,2026-05-26,11.265
152863,2026-05-26,9.48
152878,2026-05-26,9.759
152910,2026-05-26,12.253
152915,2026-05-26,9.414
152920,2026-05-26,11.3514
152939,2026-05-26,12.27
152941,2026-05-26,11.28
152962,2026-05-26,10.024
152964,2026-05-26,8.964
153034,2026-05-26,11.5462
153035,2026-05-26,1099.7388
153039,2026-05-26,11.03
153043,2026-05-26,11.0676
153047,2026-05-26,12.61
