stock_name,fund_count,avg_allocation_percent
SANSERA ENGINEERING,21,1.2219047619047618
ADITYA BIRLA SUN LIFE AMC,21,1.158095238095238
JSW INFRASTRUCTURE,21,1.0695238095238095
SUNDARAM FINANCE,21,1.0585714285714285
METROPOLIS HEALTHCARE,21,1.0219047619047619
KALPATARU PROJECTS INTERNATIONAL,21,0.9995238095238096
GODREJ PROPERTIES,21,0.9914285714285714
CENTURY PLYBOARDS (INDIA),21,0.9219047619047619
HOME FIRST FINANCE COMPANY INDIA,21,0.9176190476190476
CONTAINER CORPORATION OF INDIA,21,0.8471428571428571
PRUDENT CORPORATE ADVISORY SERVICES,21,0.8419047619047619
GLAXOSMITHKLINE PHARMACEUTICALS,21,0.8400000000000001
DEVYANI INTERNATIONAL,21,0.7357142857142857
KEC INTERNATIONAL,21,0.6942857142857143
MTAR TECHNOLOGIES,20,1.8439999999999999
SJS ENTERPRISES,20,1.3135
SYRMA SGS TECHNOLOGY,20,1.29
DATA PATTERNS (INDIA),20,1.2595
NMDC,20,1.142
ECLERX SERVICES,20,1.0939999999999999
BIKAJI FOODS INTERNATIONAL,20,1.0385
SBI CARDS AND PAYMENT SERVICES,20,0.9824999999999999
PHYSICSWALLAH,20,0.944
MRS. BECTORS FOOD SPECIALITIES,20,0.849
CHALET HOTELS,20,0.8150000000000001
ARVIND FASHIONS,20,0.7965
PG ELECTROPLAST,20,0.784
GOKALDAS EXPORTS,20,0.773
CYIENT,20,0.7474999999999999
GUJARAT STATE PETRONET,20,0.7110000000000001
ITC HOTELS,20,0.683
FIRSTSOURCE SOLUTIONS,20,0.678
STEEL AUTHORITY OF INDIA,19,1.4131578947368422
HDB FINANCIAL SERVICES,19,1.1831578947368422
KSB,19,1.1736842105263159
3M INDIA,19,1.0773684210526315
JUBILANT INGREVIA,19,1.05
RAINBOW CHILDREN'S MEDICARE,19,0.8478947368421053
CARTRADE TECH,19,0.8431578947368421
HYUNDAI MOTOR INDIA,19,0.78
HAVELLS INDIA,19,0.761578947368421
WEWORK INDIA MANAGEMENT,19,0.7589473684210526
SUMITOMO CHEMICAL INDIA,19,0.7542105263157894
LEMON TREE HOTELS,19,0.7263157894736842
COHANCE LIFESCIENCES,19,0.67
AARTI INDUSTRIES,19,0.6352631578947369
PINE LABS,19,0.5584210526315789
JYOTHY LABS,19,0.5499999999999999
CCL PRODUCTS (INDIA),18,1.6366666666666667
GODFREY PHILLIPS INDIA,18,1.4216666666666666
ERIS LIFESCIENCES,18,1.2994444444444444
ESCORTS KUBOTA,18,1.046111111111111
CANARA BANK,18,1.0366666666666666
POONAWALLA FINCORP,18,0.9694444444444444
DEEPAK NITRITE,18,0.7855555555555556
PIRAMAL PHARMA,18,0.7733333333333333
GUJARAT FLUOROCHEMICALS,18,0.745
RHI MAGNESITA INDIA,18,0.6861111111111111
BIRLASOFT,18,0.6372222222222222
AWFIS SPACE SOLUTIONS,18,0.4838888888888889
PIRAMAL FINANCE,17,1.6823529411764706
NIFTY 50,17,1.5835294117647059
LAURUS LABS,17,1.5535294117647058
CAN FIN HOMES,17,1.46
SUZLON ENERGY,17,1.3958823529411766
BERGER PAINTS INDIA,17,1.07
VIJAYA DIAGNOSTIC CENTRE,17,1.0405882352941178
BANDHAN BANK,17,0.9335294117647058
SIEMENS ENERGY INDIA,17,0.7358823529411764
GILLETTE INDIA,17,0.7276470588235294
PREMIER ENERGIES,16,1.92875
ONESOURCE SPECIALTY PHARMA,16,1.74125
AVALON TECHNOLOGIES,16,1.378125
VOLTAMP TRANSFORMERS,16,1.35125
ARVIND,16,1.25625
BALRAMPUR CHINI MILLS,16,1.114375
ATUL,16,1.10625
EXIDE INDUSTRIES,16,0.951875
APTUS VALUE HOUSING FINANCE INDIA,16,0.910625
COLGATE-PALMOLIVE (INDIA),16,0.8975
SIEMENS,16,0.764375
CENTRAL DEPOSITORY SERVICES (INDIA),16,0.689375
ORIENT ELECTRIC,16,0.56125
ADANI POWER,15,3.5020000000000002
WELSPUN CORP,15,1.5479999999999998
KIRLOSKAR PNEUMATIC COMPANY,15,1.4013333333333333
ENGINEERS INDIA,15,1.2286666666666666
THE GREAT EASTERN SHIPPING COMPANY,15,1.1773333333333333
JINDAL STAINLESS,15,1.1193333333333333
CEAT,15,1.116
GO DIGIT GENERAL INSURANCE,15,1.1106666666666667
GAIL (INDIA),15,0.9259999999999999
RATNAMANI METALS & TUBES,15,0.8646666666666667
NARAYANA HRUDAYALAYA,15,0.8413333333333334
CANARA HSBC LIFE INSURANCE COMPANY,15,0.8173333333333334
TENNECO CLEAN AIR INDIA,15,0.734
GRINDWELL NORTON,15,0.7173333333333333
LEELA PALACES HOTELS & RESORTS,15,0.7086666666666667
JK LAKSHMI CEMENT,15,0.708
JSW DULUX,15,0.6906666666666667
FRACTAL ANALYTICS,15,0.5906666666666667
CIE AUTOMOTIVE INDIA,15,0.5640000000000001
SCHNEIDER ELECTRIC INFRASTRUCTURE,14,1.387857142857143
SHREE CEMENT,14,1.3157142857142856
MANAPPURAM FINANCE,14,1.2714285714285716
URBAN COMPANY,14,1.0364285714285715
BOSCH,14,1.032857142857143
TRAVEL FOOD SERVICES,14,0.9628571428571429
PVR INOX,14,0.8907142857142858
AETHER INDUSTRIES,14,0.7971428571428572
JSW CEMENT,14,0.75
NTPC GREEN ENERGY,14,0.7378571428571429
